"Frontside"	"Flipside"	"Category"
Navi	Local	Pos
'ampi	toucher	vtr.
'angtsìk	Marteaureau | Marteaureau Titanothère	n.
'aw	1 (un)	num.
'awkx	falaise	n.
'awpo	un (individu)	pn.
'awsiteng	ensemble	adv.
'awve	premier	adj.
'e'al	pire	adj.
'eko	attaquer | pleuvoir à verse (météo)	vtr.
'ekong	rythme	n.
'engeng	plat | nivelé | lisse | horizontal	adj.
'eveng	enfant	n.
'evi	enfant (affecteux)	n.
'ewan	jeune	adj.
'eylan	ami	n.
'ì'awn	rester	vin.
'ìheyu	spirale	n.
'Ìnglìsì	Anglais (langue)	n.
'it	un peu | une petite quantité	n.
'itan	fils	n.
'ite	fille (enfant du parent)	n.
'ok	souvenir	n.
'ong	fleurir | s'épanouir	v.
'u	chose | fait	n.
'upe	quoi? | quel? | quelle? | quelle chose?	inter.
'upxare	message	n.
a	[sbd.] | que | qui	part.
alaksi	prêt	adj.
lìm	être loin | être éloigné	vin.
apxa	large	adj.
atan	lumière | source de lumière	n.
atokirina'	Graines de l'Arbre Sacré	n.
atxkxe	pays | terres	n.
au	[exclamation de consternation]	n.
aungia	présage | signe	n.
awaiei	banshee du paradis | [Bansheba terrestre]	n.
awnga	nous ([inclusif, incluant toi]) | [forme abrégée de]: ayoeng	pn.
ayfo	ils | elles	pn.
aynga	vous tous | vous	pn.
ayoe	nous (exclusif)	pn.
ayoeng	nous (tous) (inclusif, incluant toi)	pn.
äie	vision (spirituelle)	n.
äo	sous | en-dessous de	adp.
ätxäle	demande | requête	n.
ätxäle si	demander (que [devient] tsnì [pour introduire la proposition relative])	vin.
ean	bleu | vert	adj.
eltu	cerveau	n.
eltu si	écouter ([prêter attention à])	vin.
eltungawng	brainworm	n.
emza'u	passer | réussir (un examen)	vtr.
eo	devant | avant	adp.
eyawr	correct	adj.
eyaye	warbonnet | [Bellicum pennatum]	n.
eyk	mener	vtr.
eyktan	leader (meneur)	n.
fa	avec | au moyen de...	adp.
fahew	senteur	n.
fìfya	de cette manière | de cette façon	adv.
fìkem	ça (pour une action)	pn.
fìpo	celui-là (personne ou chose)	pn.
fìtxan	si | tellement	adv.
fìtseng	ici | (à) cet endroit | (à) ce lieu | on peut également dire: fìtsenge	adv., n.
fìtsenge	ici | (à) cet endroit | (à) ce lieu | [on peut également dire]: fìtseng	adv., n.
fì'u	ça | ceci (pour un objet)	pn.
fkarut	éplucher	v.
fkew	puissant | très grand ([peut être interprété comme 'formidable' ou 'considérable'])	adj.
fko	un (dans le sens 'un truc' indéfini)	pn.
flä	réussir	vin.
fmawn	nouvelle (information) | qqch à rapporter	n.
fmetok	tester	vtr.
fmi	essayer | tenter de	vtrm.
fngap	métal	n.
fngapsutxwll	plante | [Pennanemone ciliare]	n.
fnu	calmer | apaiser	vin.
fo	ils | elles	pn.
fpak	stopper | arrêter une action qui est en train de se produire	vin.
fpe'	donner | envoyer	vtr.
fpeio	challenge | défi (cérémoniel)	n.
fpi+	pour l'amour de au bénéfice de	adp.
fpìl	penser | réfléchir	vtr.
fpom	paix | bien-être | bonheur	n.
fpxafaw	medusa	n.
fpxäkìm	entrer	vin.
fra'u	tout | toute chose	pn.
frakrr	toujours | tout le temps	adv.
frapo	tous | tout le monde	pn.
frrfen	visiter	vtr.
frrtu	visiteur | invité	n.
ftang	stopper | arrêter (de faire quelque chose/une action)	vim.
fte	de sorte que | afin que	conj.
fteke	afin d'éviter que | de crainte que	conj.
ftia	étudier	vtr.
ftxì	langue (l'organe)	n.
ftxozä	célébration | évènement joyeux	n.
ftu	de (direction)	adp.
ftue	facile	adj.
ftxavang	passionné(e)	adj.
ftxey	choisir	vtr.
fu	ou (dans le sens  | ça ou ça)	conj.
futa	généralement traduit par que | répétition du sujet ou infinitif	sbd.
fwa	ce qui...	sbd.
fya'o	voie | chemin	n.
fyape	comment	inter.
fyawìntxu	guider	vin.
ha	ainsi | dans ce cas	adv.
hahaw	dormir	vin.
hapxì	morceau | bout | partie	n.
hasey	fini | terminé	adj.
hawnu	protéger | abriter	vtr.
hì'i	petit (pour une taille)	adj.
hiyìk	rigolo (dans le sens 'étrange' 'louche' 'bizarre')	adj.
hol	(seulement un) peu de | pas beaucoup de	adj.
holpxay	nombre	n.
hrrap	danger	n.
hu	avec	adp.
hufwe	vent	n.
hum	partir | quitter | s'en aller	vin.
i'en	instrument à corde	n.
ikran	banshee (banshee des montagnes)	n.
ikranay	banshee des forêts | ([plus petit cousin du banshee des montagnes])	n.
ioang	bête | animal	n.
irayo	remerciement	n., intj.
ìlä+	suivant | via | par | selon (quelqu'un)	adp.
ka	à travers	adp.
kä	aller	vin.
kali'weya	espèce d'arachnide venimeuse | [Scorpiosista virosae]	n.
kalin	doux	adj.
kaltxì	bonjour | salut	intj.
kämakto	chevaucher	v.
kame	voir  | voir en | ([dans le sens spirituel])	vtr.
kan	viser (à faire qqch/avec une arme) | avoir l'intention de	vtrm.
kangay	valide	adj.
kar	enseigner	vtr.
karyu	professeur | enseignant	n.
kato	rythme	n.
kawkrr	jamais	adv.
kawng	mauvais | pas bon | maléfique	adj.
kawtu	personne	pn.
ke	pas | ne ... pas	part.
ke'u	rien	pn.
kehe	non	part., intj.
kelku	maison	n.
kelku si	habiter | vivre	vin.
kem	action | acte	n.
kempe	quoi | que (action)	inter.
kenong	représenter	vin.
kerusey	mort | décédé	adj.
ketuwong	alien | étranger (la personne)	n.
kewong	étranger (dans le sens 'quelque chose d'étranger')	adj.
keye'ung	démence | folie	n.
kifkey	monde (physique)	n.
kilvan	rivière	n.
kìm	faire: | tourner (qqch) | tournoyer (qqch) | pivoter (qqch)	vtr.
kin	avoir besoin de (qqch)	vtr.
kinam	jambe	n.
kinamtil	genoux	n.
kìng	fil	n.
kip	parmi	adp.
kìte'e	service	n.
kllfro'	être responsable	vin.
kllkulat	arracher | retourner | déterrer	vtr.
kllkxem	être debout | se tenir debout (position)	vin.
kllpxìltu	territoire	n.
kllte	terre | terrain | sol	n.
ko	([solicite un accord])	part.
kop	aussi | également | de plus | ([extension de l'information déjà donnée])	adv.
koren	règle	n.
krr	temps | heure ([au sens temporel])	n.
krrnekx	prendre du temps	vin.
krrpe	quand?	inter.
kunsìp	gunship | hélico de combat	n.
kurakx	chasser | rabattre | (faire) sortir de force	vtr.
kxam	milieu	n.
kxamtseng	centre | place centrale	n.
kxangangang	boum ([onomatopée])	intj.
kxanì	Interdit	adj.
kxawm	peut-être	adv.
kxener	fumée	n.
kxetse	queue	n.
kxeyey	erreur | faute	n.
kxll	charge	n.
lahe	autre	adj.
lam	sembler | apparaître comme	vin.
lapo	l'autre ([personne ou chose])	pn.
latem	changer | [changer qqn/qqch]: leykatem	vin.
law	sûr | certain	adj.
lefpom	joyeux | heureux | paisible	adj.
lertu	collègue	n.
letrr	quotidien | journalier	adj.
letsunslu	possible	adj.
lì'u	mot	n.
lì'fya	langue (qu'on parle)	n.
lok	près de | proche de	vtr.
lonu	relâcher | libérer	vtr.
lor	beau | plaisant aux sens	adj.
loreyu	'helicoradian' | Belle spirale | [helicoradium spirale]	n.
lrrtok	sourire	n.
lrrtok si	sourire	vin.
lu	être | ([utilisé avec un mot au datif pour former le v.] avoir)	vin.
lun	raison	n.
lumpe	pourquoi	inter.
ma	Ô... | Cher/Chère... | [marqueur désignant la personne à qui l'on parle (vocatif)]	part.
makto	monter | chevaucher	vtr.
mawey	calme	adj.
mefo	ils | elles  | ([groupe de deux])	pn.
menari	yeux (deux yeux)	n.
meoauniaea	Harmonie | Vivre en unité avec la Nature	n.
meuia	honneur	n.
meyp	faible	adj.
mi	encore	adv.
mip	nouveau	adj.
mikyun	oreille	n.
mì+	en dedans sur	adp.
mìn	tourner | pivoter	vin.
mìso	loin (position)	adv.
mllte	consentir | approuver | être d'accord	vin.
moe	nous deux (exclusif)	pn.
mokri	voix	n.
muiä	juste | correct	adj.
mun'i	couper	v.
mune	deux	num.
munge	prendre	vtr.
mungwrr	sauf | à part	adp.
muntxa	joint | uni | accouplé	adj.
na	comme | semblable à	adp.
na'rìng	forêt	n.
Na'vi	Le Peuple | Les Na'vis	prop.n.
nang	surprise | exclamation | encouragement	part.
nantang	loup vipère | Caniferratus costatus	n.
nari	oeil	n.
nari si	faire attention | veiller | surveiller	vin.
nawm	grand | noble	adj.
ne	vers (direction)	adp.
ne'ìm	arrière (direction)	adv.
nekx	brûler | consumer	vtr.
neto	loin (direction)	adv.
new	vouloir | désirer	vtrm.
niä	saisir | agripper | s'emparer	vtr.
nì'aw	seulement	adv.
nìawnomum	comme nous savons	adv.
nì'awtu	seul | seule (dans le sens 'être seul(e)')	adv.
nì'awve	premièrement | en premier	adv.
nì'it	peu | un peu | pas beaucoup (pour quelque chose d'abstrait)	adv.
nì'ul	plus	adv.
nìayoeng	comme nous	adv.
nìftue	facilement	adv.
nìftxavang	passionnément (avec tout son coeur)	adv.
nìhawng	trop | excessivement	adv.
nìltsan	bien	adv.
nìmun	encore | de nouveau	adv.
nìn	regarder (quelque chose)	vtr.
nìngay	vraiment | sincèrement	adv.
nìtam	suffisamment	adv.
nìteng	aussi | également | de même | ([en cas d'extension, voir] kop)	adv.
nìtut	continuellement	adv.
nìtxan	beaucoup | plein (pour quelque chose d'abstrait)	adv.
nìwin	rapidement	adv.
nìwotx	tout | complètement | en entier	adv.
nulkrr	longtemps | plus longtemps	adv.
nulnew	préférer	vtrm.
nume	apprendre	vin.
nga	tu | vous ([singulier])	pn.
ngawng	vers	n.
ngay	vrai	adj.
ngenga	tu | vous ([singulier]) | ([honorifique])	pn.
ngim	long | longue	adj.
ngop	créer	vtr.
ngrr	racine	n.
nguway	hurlement | cri de Loup Vipère	n.
oe	je	pn.
oeng	toi et moi | nous deux	pn.
oeyk	cause	n.
ohe	je (forme cérémonielle)	pn.
olo'	clan | groupe	n.
olo'eyktan	leader | meneur | chef (d'un clan)	n.
omum	connaître | savoir	vtr.
ontu	nez | truffe	n.
pähem	arriver	vin.
pak	part. du dénigrement | dépréciation | signe de mépris	part.
pa'li	direhorse | equidus	n.
palulukan	Thanator	n.
pam	son	n.
pamtseo	musique	n.
pamtseowll	[Felinafolia ferruginea]	n.
pängkxo	discuter | converser	vin.
pänutìng	promettre (qqch à qqn)	vtr.
pätsì	badge	n.
pawm	interroger	vtr.
pay	eau	n.
paywll	[Aloeparilus succulentus]	n.
--pe+	que quoi (particule utilisée pour générer une question)	affix
pe'un	décider	vtr.
pefya	comment	inter.
pehem	que | quoi	inter.
pehrr	quand?	inter.
pelun	pourquoi	inter.
peng	dire | raconter	vtr.
penghrrap	[Lucinaria fibriata]	n.
peseng	où? | à quel endroit?	inter.
pesu	qui	inter.
peu	quoi? | quel? | quelle? | quelle chose? | ([quoi pour une chose])	inter.
pey	attendre	vin.
pizayu	ancêtre	n.
plltxe	parler	vtr.
po	Il | elle (sans différence de genre)	pn.
poan	Il (an part. Masculine)	pn.
poe	elle (e part. féminine)	pn.
pongu	groupe	n.
prrnen	enfant | bébé	n.
prrnesyul	bourgeon	n.
prrte'	agréable (pour une activité)	adj.
pxan	digne | méritant	adj.
pxasìk	Fais chier! | Ah zut!	intj.
pxasul	frais (pour de la nourriture)	adj.
pxay	beaucoup | un grand nombre de	adj.
pxey	trois	num.
pxi	pointu | acéré	adj.
pxìm	souvent | fréquemment	adv.
pxiut	[Saltcellar gracilis]	n.
pxorna'	episoth | semence qui explose | [Croquembouche columnare]	n.
pxun	bras	n.
pxuntil	coude	n.
rä'ä	ne pas ([pour les phrases impératives négatives et les ordres seulement])	part.
ral	signification | sens	n.
ralpeng	traduire | interpréter	vtr.
rawke	cri d'alarme | appel à la défense	intj.
rel	image | dessin	n.
reltseo	art (dans le sens 'oeuvre d'art')	n.
reltseotu	artiste	n.
renu	modèle | exemple	n.
rey	vivre	vin.
rikx	bouger | changer de position	vin.
rim	jaune	adj.
rina'	graine | semence	n.
riti	stingbat | [Scorpiobattus volansii]	n.
rol	chanter	v.
ronsem	esprit | intelligence	n.
rum	balle	n.
rumut	puffball tree | [Obesus rotundus]	n.
run	trouver | découvrir	vtr.
rutxe	s'il vous plaît (SVP)	intj.
sa'nok	mère	n.
sa'nu	maman	n.
san	guillemets | [part. au début d'un discours direct ou d'une citation]	adv.
sänume	enseignement | instruction	n.
säspxin	maladie	n.
sempu	papa	n.
sempul	père	n.
set	maintenant	adv.
sevin	joli | mignon ([décrit principalement une femme])	adj.
seyri	lèvre	n.
seze	blue flower | nom de l'ikran de Neytiri	n.
si	[v. auxiliaire]	vin.
sì	et (pour lier deux choses)	part.
sìk	guillemets | [part. à la fin d'un discours direct ou d'une citation]	adv.
sìlpey	espérer	vin.
sìlronsem	intelligent | pratique (le mot anglais est 'clever')	adj.
sìltsan	bon | bien	adj.
ska'a	détruire	vtr.
skxawng	débile | idiot	n.
slä	mais	conj.
slu	devenir	vin.
sngä'i	commencer | débuter	vim.
sngä'ikrr	commencement | départ (au sens temporel)	n.
sngel	ordure	n.
sngeltseng	déchetterie	n.
snumìna	incertain | indécis (pour une personne)	adj.
som	chaud	adj.
somtìlor	popsicle | [Capsulatum virgatum]	n.
spaw	croire	vtr.
spxam	champignon	n.
spe'e	capturer	vtr.
spe'etu	captif	n.
spxin	malade	adj.
srak	[marqueur de question fermée placée en fin de phrase]	part.
srake	[marqueur de question fermée placée en début de phrase]	part.
srane	oui	part., intj.
srew	danser	vin.
srung	aide | assistance	n.
stawm	entendre	vtr.
steftxaw	examiner	vtr.
stum	presque | à peu près	adv.
sutx	traquer | pister | suivre	vtr.
swaw	moment	n.
swey	meilleur	adj.
swirä	creature	n.
swizaw	flèche	n.
swok	sacré	adj.
swotu	place sacrée	n.
syaw	appeler | nommer	vin.
syulang	fleur	n.
ta	de (usages multiples)	adp.
ta'em	d'en haut	adv.
tafral	donc | en conséquent | aussi	adv.
täftxu	tisser	vtr.
täftxuyu	tisserand(e)	n.
takuk	frapper | battre | giffler	vtr.
talioang	sturmbeest	n.
talun	parce que | ([forme abrégée de] taluna)	conj.
taluna	parce que	conj.
tam	suffire | aller	vin., intj.
tam tam		intj.
tangek	tronc (pour un arbre)	n.
tanhì	étoile	n.
taron	chasser	vtr.
taronyu	chasseur	n.
tautral	arbre du ciel	n.
taw	ciel	n.
taweyk	parce que | à cause de	conj.
taweyka	parce que | à cause de	conj.
tawsìp	vaisseau du ciel	n.
tawng	plonger | esquiver	vin.
tawtsngal	panopyra | [Panopyra aerii]	n.
tawtute	Humain | Personne du ciel | Celui qui vient du ciel	n.
te	part. utilisée dans les noms complets	part.
tel	recevoir	vtr.
telem	corde	n.
teng	même | égal	adj.
tengfya	la même manière que | comme | de même façon	conj.
tengkrr	tandis que | en même temps	conj.
teri	concernant | au sujet de	adp.
terkup	mourir	vin.
teswotìng	permettre | accorder	vtr.
teya	plein	adj.
teylu	beetle larvae	n.
tewti	wow | whouah	intj.
til	joint | charnière | gond	n.
tirea	esprit	n.
tireafya'o	chemin spirituel	n.
tireaioang	animal légendaire | esprit animal	n.
tireapängkxo	communier (être en communion au sens spirituel)	v.
tì'eyng	réponse	n.
tìfmetok	test | essai | examen	n.
tìftang	arrêt	n.
tìfyawìntxu	conseil | direction	n.
tìhawnu	protection	n.
tìkangkem	travail	n.
tìkawng	Toruk Makto, idiot	n.
tìkenong	exemple	n.
tìkin	besoin	n.
tìlor	beauté	n.
tìng	donner	vtr.
tìng mikyun	écouter | prêter l'oreille	vin.
tìng nari	regarder	vin.
tìngay	vérité	n.
tìpawm	question	n.
tìran	marcher	vin.
tìyawn	amour	n.
tìrey	vie	n.
tìrol	chant	n.
tìspxin	malade	n.
tìtxur	force	n.
to	[marqueur de comparaison] | ... que ...	part.
tok	occuper (pour une zone) | résider (pour un habitat) | être (pour un emplacement)	vtr.
toktor	médecin	n.
tokx	corps	n.
tompa	pluie	n.
toruk	grand leonopteryx | La dernière ombre	n.
toruk makto	Chevaucheur de Toruk	n.
torukspxam	[Fungimonium giganteum]	n.
