id	navi	ipa	infixes	partOfSpeech	source	stressed	syllables	infixDots	de	en	et	fr	hu	nl	pl	ru	sv
4	'ampi	ˈʔ·am.p·i	'<0><1>amp<2>i	vtr.	ASG; http://naviteri.org/2012/11/renu-ayinanfyaya-the-senses-paradigm/ (27 November 2012)	1	'am-pi	'.amp.i	berühren	touch	katsuma, puutuma	toucher	(meg)érint	aanraken	dotykać	трогать	beröra
8	'angtsìk	ˈʔaŋ.t͡sɪk̚	NULL	n.	Taronyu's Dictionary 9.58 < Frommer	1	'ang-tsìk	NULL	Hammerkopf	hammerhead	Vasarpea (hammerhead)	Marteaureau | Marteaureau Titanothère	kalapácsfejű növényevő (pandorai állatfaj)	hamerhoofd	Młotogłów	молотоглав (животное)	hammerhead, hammarhuvud
12	'aw	ʔaw	NULL	num.	NULL	1	'aw	NULL	eins	one	üks	1 (un)	egy, 1	één	jeden	один	en, ett
20	'awkx	ʔawk'	NULL	n.	ASG	1	'awkx	NULL	Klippe, Kliff	cliff	kalju, järsak	falaise	szikla(szírt)	rotswand	ściana skalna, klif	утёс	klippa
24	'awpo	ˈʔaw.po	NULL	pn.	ASG	1	'aw-po	NULL	eine/r (Einzelperson)	one individual	keegi, üks isik	un (individu)	egy személy (általános alany)	één persoon	NULL	одна персона	NULL
28	'awsiteng	ʔaw.si.ˈtɛŋ	NULL	adv.	ASG	3	'aw-si-teng	NULL	zusammen, gemeinsam	together	koos	ensemble	együtt, közösen	samen	razem, wspólnie	вместе	tillsammans
32	'awve	ˈʔaw.vɛ	NULL	adj.	ASG	1	'aw-ve	NULL	erste/r/s	first (ordinal)	esimene	premier	első	eerste (rangtelwoord)	pierwszy	первый	först (ordningstal)
36	'e'al	ˈʔɛ.ʔal	NULL	adj.	ASG; http://forum.learnnavi.org/language-updates/two-words-in-use-eal-and-kangay-si/ (19 November 2012)	1	'e-'al	NULL	schlimmste/r/s, schlechteste/r/s	worst	halvim	pire	legrosszabb	slechtste	najgorszy	худший	värst
44	'eko	ˈʔ·ɛ.k·o	'<0><1>ek<2>o	vtr.	ASG	1	'e-ko	'.ek.o	attackieren, angreifen	attack	ründama	attaquer | pleuvoir à verse (météo)	támad	aanvallen	atakować	нападать, атаковать	attackera, anfalla
48	'ekong	ˈʔɛ.koŋ	NULL	n.	ASG	1	'e-kong	NULL	Schlag (rhythmisch)	beat (rhythmic)	biit, löök (muusikas)	rythme	ritmus, ütem	ritme	uderzenie (rytmiczne)	ударный ритм	rytm, slag (rytmiskt)
