id	navi	ipa	infixes	partOfSpeech	localized	source
4	'ampi	ˈʔ·am.p·i	'<0><1>amp<2>i	vtr.	touch	ASG; http://naviteri.org/2012/11/renu-ayinanfyaya-the-senses-paradigm/ (27 November 2012)
8	'angtsìk	ˈʔaŋ.t͡sɪk̚	NULL	n.	hammerhead	Taronyu's Dictionary 9.58 < Frommer
12	'aw	ʔaw	NULL	num.	one	NULL
20	'awkx	ʔawk'	NULL	n.	cliff	ASG
24	'awpo	ˈʔaw.po	NULL	pn.	one individual	ASG
28	'awsiteng	ʔaw.si.ˈtɛŋ	NULL	adv.	together	ASG
32	'awve	ˈʔaw.vɛ	NULL	adj.	first (ordinal)	ASG
36	'e'al	ˈʔɛ.ʔal	NULL	adj.	worst	ASG; http://forum.learnnavi.org/language-updates/two-words-in-use-eal-and-kangay-si/ (19 November 2012)
44	'eko	ˈʔ·ɛ.k·o	'<0><1>ek<2>o	vtr.	attack	ASG
48	'ekong	ˈʔɛ.koŋ	NULL	n.	beat (rhythmic)	ASG
52	'engeng	ˈʔɛŋ.ɛŋ	NULL	adj.	level	ASG
56	'eveng	ˈʔɛ.vɛŋ	NULL	n.	child	ASG
60	'evi	ˈʔɛ.vi	NULL	n.	kid (affectionate form of)	ASG
64	'ewan	ˈʔɛ.wan	NULL	adj.	young	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/ (20 Jan 2010)
68	'eylan	ˈʔɛj.lan	NULL	n.	friend	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/ (20 Jan 2010)
76	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<0><1>ì'<2>awn	vin.	remain, stay	ASG
80	'ìheyu	ʔɪ.ˈhɛ.ju	NULL	n.	spiral	ASG
84	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	NULL	n.	English language	ASG
88	'it	ʔit̚	NULL	n.	bit, a small amount	ASG
92	'itan	ˈʔi.tan	NULL	n.	son	ASG
96	'ite	ˈʔi.tɛ	NULL	n.	daughter	ASG
100	'ok	ʔok̚	NULL	n.	remembrance	ASG
104	'ong	ʔ·oŋ	'<0><1><2>ong	v.	unfold, blossom	ASG
108	'u	ʔu	NULL	n.	thing (object, fact, abstraction)	Taronyu's dictionary 9.58 < Frommer
112	'upe	ˈʔu.pɛ	NULL	inter.	what (thing)	ASG
116	'upxare	ʔu.ˈp'a.ɾɛ	NULL	n.	message	ASG
120	a	a	NULL	part.	clause  level attributive marker	ASG
128	alaksi	a.ˈlak.si	NULL	adj.	ready	ASG
140	lìm	l·ɪm	l<0><1><2>ìm	vin.	be far	Taronyu's Dictionary 9.53 < Frommer
152	apxa	a.ˈp'a	NULL	adj.	large	ASG
160	atan	a.ˈtan	NULL	n.	light	ASG; https://forum.learnnavi.org/language-updates/atan-lucet-in-tenebris/ (06 Feb 2010)
172	atokirina'	a.to.ki.ˈɾi.naʔ	NULL	n.	seeds of the great tree	ASG
176	atxkxe	at'.ˈk'ɛ	NULL	n.	land	ASG
180	au	ˈa.u	NULL	n.	drum (made of skin)	Taronyu Dictionary
184	aungia	a.ˈu.ŋi.a	NULL	n.	sign, omen	ASG; http://naviteri.org/2017/12/zisit-amip-lefpom-ma-eylan-happy-new-year-friends/ (31 Dec 2017)
188	awaiei	a.wa.i.ˈɛ.i	NULL	n.	banshee of paradise	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)
192	awnga	aw.ˈŋa	NULL	pn.	we	Taronyu's Dictionary 10.015 => Frommer
204	ayfo	aj.ˈfo] or [ˈaj.fo	NULL	pn.	they	ASG
208	aynga	aj.ˈŋa	NULL	pn.	you all, you (pl.)	ASG
212	ayoe	aj.ˈo.ɛ	NULL	pn.	we, us (exclusive)	ASG
216	ayoeng	aj.ˈwɛŋ	NULL	pn.	we, us (inclusive)	ASG
224	äie	æ.ˈi.ɛ	NULL	n.	vision (spiritual)	ASG; http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)
240	äo	ˈæ.o	NULL	adp.	under, below	Taraonyu's Dictionary 9.58 < Frommer
244	ätxäle	æ.ˈt'æ.lɛ	NULL	n.	request	ASG
248	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<0><1><2>i	vin.	request (with tsnì clause for object)	Taronyu's dictionary 9.869 < Movie Behind the Scenes (Screenshot)
256	ean	ˈɛ.an	NULL	adj.	blue, green	ASG; http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)
264	eltu	ˈɛl.tu	NULL	n.	brain	ASG
268	eltu si	ˈɛl.tu s·i	eltu s<0><1><2>i	vin.	pay attention, quit goofing off	ASG
272	eltungawng	ˈɛl.tu.ŋawŋ	NULL	n.	brainworm	ASG
280	emza'u	ɛm.ˈz·a.ʔ·u	emz<0><1>a'<2>u	vtr.	pass (a test), overcome	ASG
284	eo	ˈɛ.o	NULL	adp.	before, in front of (place)	ASG
296	eyawr	ɛ.ˈjawɾ	NULL	adj.	correct, right	Frommer (31 Jan 2010) http://forum.learnnavi.org/language-updates/another-email-from-frommer/msg68133/#msg68133
300	eyaye	ɛ.ˈja.jɛ	NULL	n.	warbonnet	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)
304	eyk	·ɛjk̚	<0><1><2>eyk	vtr.	lead	ASG
308	eyktan	ˈɛjk.tan	NULL	n.	leader	ASG
324	fa	fa	NULL	adp.	with, by means of	ASG
328	fahew	fa.ˈhɛw	NULL	n.	smell	ASG
348	fìfya	fɪ.ˈfja	NULL	adv.	this way, like this	ASG
352	fìkem	fɪ.ˈkɛm	NULL	pn.	this (action)	ASG
356	fìpo	ˈfɪ.po	NULL	pn.	this one person or thing	ASG; http://forum.learnnavi.org/website-info/the-dictionary-part-ii/msg580212/#msg580212 (29 Mar 2013)
360	fìtxan	fɪ.ˈt'an	NULL	adv.	so, to such an extent	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/
364	fìtseng	fɪ.ˈt͡sɛŋ	NULL	adv., n.	here, this place	ASG
365	fìtsenge	fɪ.ˈt͡sɛ.ŋɛ	NULL	adv., n.	here, this place	alternate: fìtseng
368	fì'u	fɪ.ˈʔu	NULL	pn.	this (thing)	ASG
372	fkarut	ˈfk·a.ɾ·ut̚	fk<0><1>ar<2>ut	v.	peel	ASG
376	fkew	fkɛw	NULL	adj.	mighty	ASG
380	fko	fko	NULL	pn.	one, they (singular usage) (unspecified agent)	ASG
384	flä	fl·æ	fl<0><1><2>ä	vin.	succeed	Taronyu's Dictionary 9.718
388	fmawn	fmawn	NULL	n.	news, something to report	ASG
392	fmetok	ˈfm·ɛ.t·ok̚	fm<0><1>et<2>ok	vtr.	test	ASG; https://forum.learnnavi.org/language-updates/about-fmetok-and-pofo/ (25 Feb 2017)
396	fmi	fm·i	fm<0><1><2>i	vtrm.	try, attempt	ASG
400	fngap	fŋap̚	NULL	n.	metal	Taronyu's Dictionary 9.58 < Frommer
404	fngapsutxwll	ˈfŋap.sut'.wḷ	NULL	n.	metalfollowing plant	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)
408	fnu	fn·u	fn<0><1><2>u	vin.	quiet, be quiet	ASG
412	fo	fo	NULL	pn.	they	ASG
416	fpak	fp·ak̚	fp<0><1><2>ak	vin.	hold off, suspend action	ASG; http://naviteri.org/2015/11/vomuna-liu-amip-ten-new-words/ (30 November 2015)
420	fpe'	fp·ɛʔ	fp<0><1><2>e'	vtr.	send	ASG
424	fpeio	fpɛ.ˈi.o	NULL	n.	challenge (ceremonial)	ASG
428	fpi+	fpi	NULL	adp.	for the sake of, for the benefit of	ASG
432	fpìl	fp·ɪl	fp<0><1><2>ìl	vtr.	think	Taronyu's dictionary -> Paul Frommer
436	fpom	fpom	NULL	n.	wellbeing, peace, happiness	ASG
440	fpxafaw	ˈfp'a.faw	NULL	n.	medusa	ASG
444	fpxäkìm	ˈfp'·æ.k·ɪm	fpx<0><1>äk<2>ìm	vin.	enter	ASG; http://naviteri.org/2012/01/more-additions-to-the-lexicon/ (22 Jan 2012)
452	fra'u	ˈfɾa.ʔu	NULL	pn.	everything	ASG
456	frakrr	ˈfɾa.kṛ	NULL	adv.	always, all the time	http://forum.learnnavi.org/language-updates/karyuru-frakrr-irayo-si-ko!/ (06 Apr 2010)
460	frapo	ˈfɾa.po	NULL	pn.	everyone	ASG
464	frrfen	ˈf·ṛ.f·ɛn	f<0><1>rrf<2>en	vtr.	visit	NULL
468	frrtu	ˈfṛ.tu	NULL	n.	guest, visitor	Frommers personal emails
472	ftang	ft·aŋ	ft<0><1><2>ang	vim.	stop	ASG
476	fte	ftɛ	NULL	conj.	so that, in order to	ASG
480	fteke	ˈftɛ.kɛ	NULL	conj.	so that not, lest	ASG
484	ftia	ft·i.·ˈa	ft<0><1>i<2>a	vtr.	study	ASG
488	ftxì	ft'ɪ	NULL	n.	tongue	NULL
492	ftxozä	ft'o.ˈzæ	NULL	n.	celebration, happy occasion	Taronyu's dictionary -> Paul Frommer
