word	unique letters	total letters	score
'ampi	5	5	1.000000
'angtsìk	8	8	1.000000
'aw	3	3	1.000000
'awkx	5	5	1.000000
'awpo	5	5	1.000000
'awsiteng	9	9	1.000000
'awve	5	5	1.000000
'e'al	4	5	0.800000
'eko	4	4	1.000000
'ekong	6	6	1.000000
'engeng	4	7	0.571429
'eveng	5	6	0.833333
'evi	4	4	1.000000
'ewan	5	5	1.000000
'eylan	6	6	1.000000
'ì'awn	5	6	0.833333
'ìheyu	6	6	1.000000
'Ìnglìsì	7	8	0.875000
'it	3	3	1.000000
'itan	5	5	1.000000
'ite	4	4	1.000000
'ok	3	3	1.000000
'ong	4	4	1.000000
'u	2	2	1.000000
'upe	4	4	1.000000
'upxare	7	7	1.000000
a	1	1	1.000000
alaksi	5	6	0.833333
lìm	3	3	1.000000
apxa	3	4	0.750000
atan	3	4	0.750000
atokirina'	8	10	0.800000
atxkxe	5	6	0.833333
au	2	2	1.000000
aungia	5	6	0.833333
awaiei	4	6	0.666667
awnga	4	5	0.800000
ayfo	4	4	1.000000
aynga	4	5	0.800000
ayoe	4	4	1.000000
ayoeng	6	6	1.000000
äie	3	3	1.000000
äo	2	2	1.000000
ätxäle	5	6	0.833333
ätxäle si	7	8	0.875000
ean	3	3	1.000000
eltu	4	4	1.000000
eltu si	6	6	1.000000
eltungawng	8	10	0.800000
emza'u	6	6	1.000000
eo	2	2	1.000000
eyawr	5	5	1.000000
eyaye	3	5	0.600000
eyk	3	3	1.000000
eyktan	6	6	1.000000
fa	2	2	1.000000
fahew	5	5	1.000000
fìfya	4	5	0.800000
fìkem	5	5	1.000000
fìpo	4	4	1.000000
fìtxan	6	6	1.000000
fìtseng	7	7	1.000000
fìtsenge	7	8	0.875000
fì'u	4	4	1.000000
fkarut	6	6	1.000000
fkew	4	4	1.000000
fko	3	3	1.000000
flä	3	3	1.000000
fmawn	5	5	1.000000
fmetok	6	6	1.000000
fmi	3	3	1.000000
fngap	5	5	1.000000
fngapsutxwll	11	12	0.916667
fnu	3	3	1.000000
fo	2	2	1.000000
fpak	4	4	1.000000
fpe'	4	4	1.000000
fpeio	5	5	1.000000
fpi+	4	4	1.000000
fpìl	4	4	1.000000
fpom	4	4	1.000000
fpxafaw	5	7	0.714286
fpxäkìm	7	7	1.000000
fra'u	5	5	1.000000
frakrr	4	6	0.666667
frapo	5	5	1.000000
frrfen	4	6	0.666667
frrtu	4	5	0.800000
ftang	5	5	1.000000
fte	3	3	1.000000
fteke	4	5	0.800000
ftia	4	4	1.000000
ftxì	4	4	1.000000
ftxozä	6	6	1.000000
ftu	3	3	1.000000
ftue	4	4	1.000000
ftxavang	7	8	0.875000
ftxey	5	5	1.000000
fu	2	2	1.000000
futa	4	4	1.000000
fwa	3	3	1.000000
fya'o	5	5	1.000000
fyape	5	5	1.000000
fyawìntxu	9	9	1.000000
ha	2	2	1.000000
hahaw	3	5	0.600000
hapxì	5	5	1.000000
hasey	5	5	1.000000
hawnu	5	5	1.000000
hì'i	4	4	1.000000
hiyìk	5	5	1.000000
hol	3	3	1.000000
holpxay	7	7	1.000000
hrrap	4	5	0.800000
hu	2	2	1.000000
hufwe	5	5	1.000000
hum	3	3	1.000000
i'en	4	4	1.000000
ikran	5	5	1.000000
ikranay	6	7	0.857143
ioang	5	5	1.000000
irayo	5	5	1.000000
ìlä+	4	4	1.000000
ka	2	2	1.000000
kä	2	2	1.000000
kali'weya	8	9	0.888889
kalin	5	5	1.000000
kaltxì	6	6	1.000000
kämakto	6	7	0.857143
kame	4	4	1.000000
kan	3	3	1.000000
kangay	5	6	0.833333
kar	3	3	1.000000
karyu	5	5	1.000000
kato	4	4	1.000000
kawkrr	4	6	0.666667
kawng	5	5	1.000000
kawtu	5	5	1.000000
ke	2	2	1.000000
ke'u	4	4	1.000000
kehe	3	4	0.750000
kelku	4	5	0.800000
kelku si	6	7	0.857143
kem	3	3	1.000000
kempe	4	5	0.800000
kenong	5	6	0.833333
kerusey	6	7	0.857143
ketuwong	8	8	1.000000
kewong	6	6	1.000000
keye'ung	7	8	0.875000
kifkey	5	6	0.833333
kilvan	6	6	1.000000
kìm	3	3	1.000000
kin	3	3	1.000000
kinam	5	5	1.000000
kinamtil	7	8	0.875000
kìng	4	4	1.000000
kip	3	3	1.000000
kìte'e	5	6	0.833333
kllfro'	6	7	0.857143
kllkulat	5	8	0.625000
kllkxem	5	7	0.714286
kllpxìltu	7	9	0.777778
kllte	4	5	0.800000
ko	2	2	1.000000
kop	3	3	1.000000
koren	5	5	1.000000
krr	2	3	0.666667
krrnekx	5	7	0.714286
krrpe	4	5	0.800000
kunsìp	6	6	1.000000
kurakx	5	6	0.833333
kxam	4	4	1.000000
kxamtseng	9	9	1.000000
kxangangang	5	11	0.454545
kxanì	5	5	1.000000
kxawm	5	5	1.000000
kxener	5	6	0.833333
kxetse	5	6	0.833333
kxeyey	4	6	0.666667
kxll	3	4	0.750000
lahe	4	4	1.000000
lam	3	3	1.000000
lapo	4	4	1.000000
latem	5	5	1.000000
law	3	3	1.000000
lefpom	6	6	1.000000
lertu	5	5	1.000000
letrr	4	5	0.800000
letsunslu	6	9	0.666667
lì'u	4	4	1.000000
lì'fya	6	6	1.000000
lok	3	3	1.000000
lonu	4	4	1.000000
lor	3	3	1.000000
loreyu	6	6	1.000000
lrrtok	5	6	0.833333
lrrtok si	7	8	0.875000
lu	2	2	1.000000
lun	3	3	1.000000
lumpe	5	5	1.000000
ma	2	2	1.000000
makto	5	5	1.000000
mawey	5	5	1.000000
mefo	4	4	1.000000
menari	6	6	1.000000
meoauniaea	7	10	0.700000
meuia	5	5	1.000000
meyp	4	4	1.000000
mi	2	2	1.000000
mip	3	3	1.000000
mikyun	6	6	1.000000
mì+	3	3	1.000000
mìn	3	3	1.000000
mìso	4	4	1.000000
mllte	4	5	0.800000
moe	3	3	1.000000
mokri	5	5	1.000000
muiä	4	4	1.000000
mun'i	5	5	1.000000
mune	4	4	1.000000
munge	5	5	1.000000
mungwrr	6	7	0.857143
muntxa	6	6	1.000000
na	2	2	1.000000
na'rìng	6	7	0.857143
Na'vi	5	5	1.000000
nang	3	4	0.750000
nantang	4	7	0.571429
nari	4	4	1.000000
nari si	5	6	0.833333
nawm	4	4	1.000000
ne	2	2	1.000000
ne'ìm	5	5	1.000000
nekx	4	4	1.000000
neto	4	4	1.000000
new	3	3	1.000000
niä	3	3	1.000000
nì'aw	5	5	1.000000
nìawnomum	7	9	0.777778
nì'awtu	7	7	1.000000
nì'awve	7	7	1.000000
nì'it	5	5	1.000000
nì'ul	5	5	1.000000
nìayoeng	7	8	0.875000
nìftue	6	6	1.000000
nìftxavang	8	10	0.800000
nìhawng	6	7	0.857143
nìltsan	6	7	0.857143
nìmun	4	5	0.800000
nìn	2	3	0.666667
nìngay	5	6	0.833333
nìtam	5	5	1.000000
nìteng	5	6	0.833333
nìtut	4	5	0.800000
nìtxan	5	6	0.833333
nìwin	4	5	0.800000
nìwotx	6	6	1.000000
nulkrr	5	6	0.833333
nulnew	5	6	0.833333
nume	4	4	1.000000
nga	3	3	1.000000
ngawng	4	6	0.666667
ngay	4	4	1.000000
ngenga	4	6	0.666667
ngim	4	4	1.000000
ngop	4	4	1.000000
ngrr	3	4	0.750000
nguway	6	6	1.000000
oe	2	2	1.000000
oeng	4	4	1.000000
oeyk	4	4	1.000000
ohe	3	3	1.000000
olo'	3	4	0.750000
olo'eyktan	9	10	0.900000
omum	3	4	0.750000
ontu	4	4	1.000000
pähem	5	5	1.000000
pak	3	3	1.000000
pa'li	5	5	1.000000
palulukan	6	9	0.666667
pam	3	3	1.000000
pamtseo	7	7	1.000000
pamtseowll	9	10	0.900000
pängkxo	7	7	1.000000
pänutìng	7	8	0.875000
pätsì	5	5	1.000000
pawm	4	4	1.000000
pay	3	3	1.000000
paywll	5	6	0.833333
--pe+	4	5	0.800000
pe'un	5	5	1.000000
pefya	5	5	1.000000
pehem	4	5	0.800000
pehrr	4	5	0.800000
pelun	5	5	1.000000
peng	4	4	1.000000
penghrrap	7	9	0.777778
peseng	5	6	0.833333
pesu	4	4	1.000000
peu	3	3	1.000000
pey	3	3	1.000000
pizayu	6	6	1.000000
plltxe	5	6	0.833333
po	2	2	1.000000
poan	4	4	1.000000
poe	3	3	1.000000
pongu	5	5	1.000000
prrnen	4	6	0.666667
prrnesyul	8	9	0.888889
prrte'	5	6	0.833333
pxan	4	4	1.000000
pxasìk	6	6	1.000000
pxasul	6	6	1.000000
pxay	4	4	1.000000
pxey	4	4	1.000000
pxi	3	3	1.000000
pxìm	4	4	1.000000
pxiut	5	5	1.000000
pxorna'	7	7	1.000000
pxun	4	4	1.000000
pxuntil	7	7	1.000000
rä'ä	3	4	0.750000
ral	3	3	1.000000
ralpeng	7	7	1.000000
rawke	5	5	1.000000
rel	3	3	1.000000
reltseo	6	7	0.857143
reltseotu	7	9	0.777778
renu	4	4	1.000000
rey	3	3	1.000000
rikx	4	4	1.000000
rim	3	3	1.000000
