"Frontside"	"Flipside"	"Category"
'ampi	aanraken	vtr.
'angtsìk	hamerhoofd	n.
'aw	één	num.
'awkx	rotswand	n.
'awpo	één persoon	pn.
'awsiteng	samen	adv.
'awve	eerste (rangtelwoord)	adj.
'e'al	slechtste	adj.
'eko	aanvallen	vtr.
'ekong	ritme	n.
'engeng	vlak	adj.
'eveng	kind	n.
'evi	kindje (affectionate form of)	n.
'ewan	jong	adj.
'eylan	vriend	n.
'ì'awn	blijven	vin.
'ìheyu	spiraal	n.
'Ìnglìsì	Engels (taal)	n.
'it	beetje, kleine hoeveelheid	n.
'itan	zoon	n.
'ite	dochter	n.
'ok	herinnering	n.
'ong	bloeien	v.
'u	ding (object, feit)	n.
'upe	welk (ding)	inter.
'upxare	boodschap, bericht	n.
a	oorzaak attribuut markering	part.
alaksi	klaar	adj.
lìm	ver weg zijn	svin.
apxa	groot	adj.
atan	licht	n.
atokirina'	zaad van de Grote Boom	n.
atxkxe	land	n.
au	trommel (gemaakt van huiden)	n.
aungia	voorteken, omen	n.
awaiei	harpij van het paradijs	n.
awnga	wij	pn.
ayfo	zij	pn.
aynga	jullie allen, jullie	pn.
ayoe	wij (exclusief)	pn.
ayoeng	wij (inclusief)	pn.
äie	visie (spiritueel)	n.
äo	onderX	adp.
ätxäle	verzoek	n.
ätxäle si	verzoeken	vin.
ean	blauw, groen	adj.
eltu	brein	n.
eltu si	luisteren	vin.
eltungawng	breinworm	n.
emza'u	halen (bv. een test)	vtr.
eo	voor (plaats)	adp.
eyawr	juist, correct	adj.
eyaye	verentooi	n.
eyk	leiden	vtr.
eyktan	leider	n.
fa	met behulp van, door middel van	adp.
fahew	geur	n.
fìfya	op deze manier, zoals dit	adv.
fìkem	dit, deze (actie)	pn.
fìpo	dit, deze (persoon of ding)	pn.
fìtxan	zo (veel)	adv.
fìtseng	hier, deze plaats	adv., n.
fìtsenge	hier, deze plaats	adv., n.
fì'u	dit (ding)	pn.
fkarut	pellen	v.
fkew	machtig	adj.
fko	een, men (ongespecificeerd onderwerp)	pn.
flä	slagen	vin.
fmawn	nieuws, iets om te melden	n.
fmetok	testen	vtr.
fmi	proberen	vtrm.
