"Frontside"	"Flipside"	"Category"
'ampi	трогать	vtr.
'angtsìk	молотоглав (животное)	n.
'aw	один	num.
'awkx	утёс	n.
'awpo	одна персона	pn.
'awsiteng	вместе	adv.
'awve	первый	adj.
'e'al	худший	adj.
'eko	нападать, атаковать	vtr.
'ekong	ударный ритм	n.
'engeng	уровень, этаж	adj.
'eveng	ребёнок	n.
'evi	дитя (affectionate form of)	n.
'ewan	молодой	adj.
'eylan	друг	n.
'ì'awn	оставаться, сохранять состояние	vin.
'ìheyu	спираль	n.
'Ìnglìsì	английский язык	n.
'it	кусочек, частица, небольшое количество	n.
'itan	сын	n.
'ite	дочь	n.
'ok	память, воспоминания	n.
'ong	раскрываться, распускаться, цвести, процветать	v.
'u	вещь	n.
'upe	что за, какой, который	inter.
'upxare	сообщение, послание, обращение	n.
a	который (в аттрибутивной конструкции связывает определяемое с определяемым)	part.
alaksi	готовый	adj.
lìm	отдаляться, быть далеко	svin.
apxa	большой, крупный	adj.
atan	свет	n.
atokirina'	семя священного дерева	n.
atxkxe	земля, местность	n.
au	барабан из кожи	n.
aungia	знак, знамение	n.
awaiei	райский банши	n.
awnga	мы	pn.
ayfo	они	pn.
aynga	вы (инклюзив)	pn.
ayoe	мы (эксклюзив)	pn.
ayoeng	мы (инклюзив)	pn.
äie	способность Видеть (духовный смысл)	n.
äo	под 	adp.
ätxäle	просьба, мягкое требование	n.
ätxäle si	просить, мягко требовать	vin.
ean	синезеленый	adj.
eltu	мозг	n.
eltu si	слушать, обратить внимание, перестать дурить	vin.
eltungawng	мозговой червь	n.
emza'u	сдать (экзамен, тест), пройти испытание	vtr.
eo	впереди, спереди, перед	adp.
eyawr	верный, правильный	adj.
eyaye	«Боевые перья»	n.
eyk	вести, быть проводником, руководить	vtr.
eyktan	вождь, предводитель	n.
fa	чемлибо, посредством чеголибо	adp.
fahew	запах	n.
fìfya	подобно этому, таким образом	adv.
fìkem	это (действие или поступок)	pn.
fìpo	этот (указание на одушевленный или неодушевленный предмет	pn.
fìtxan	настолько (степень выраженности)	adv.
fìtseng	тут, здесь, в этом месте	adv., n.
fìtsenge	тут, здесь, в этом месте	adv., n.
fì'u	этот (с неодуш. предметом)	pn.
fkarut	сдирать, соскабливать, чистить	v.
fkew	сильный, могущественный, могучий	adj.
fko	обобщенноличное местоимение	pn.
flä	достигать цели, преуспевать, иметь успех	vin.
fmawn	новость, предмет сообщения	n.
fmetok	экзаменовать, подвергать испытанию	vtr.
fmi	пробовать, пытаться	vtrm.
fngap	металл	n.
fngapsutxwll	Pennanemone ciliare («растение, следующее за металлом»)	n.
fnu	молчать, замолкать	vin.
fo	они (сокращенная форма)	pn.
fpak	приостанавливать, откладывать (какоелибо дело)	v.
fpe'	отправлять, посылать	vtr.
fpeio	вызов (церемониальный)	n.
fpi	ради, изза, для, с целью	adp.
fpìl	думать	vtr.
fpom	мир, благополучие	n.
fpxafaw	медуза	n.
fpxäkìm	входить, проникать, попадать	vin.
fra'u	всё	pn.
frakrr	всегда	adv.
frapo	все	pn.
frrfen	навещать, посещать	vtr.
frrtu	гость	n.
ftang	прекращать, останавливаться	vim.
fte	чтобы, для того чтобы	conj.
fteke	чтобы не, как бы не	conj.
ftia	изучать, учить	vtr.
ftxì	язык (часть тела)	n.
ftxozä	праздник	n.
ftu	от, из, с (направление в пространстве)	adp.
ftue	легкий, простой, нетрудный	adj.
ftxavang	пылкий, страстный	adj.
ftxey	выбирать	vtr.
fu	или	conj.
futa	что, чтобы	pn., sbd.
fwa	тот (который или что) (маркер относительного выражения)	pn., sbd.
fya'o	путь, дорога	n.
fyape	как	inter.
fyawìntxu	вести, направлять	vin.
ha	так что, в таком случае	adv.
