"Frontside"	"Flipside"	"Category"
'ampi	berühren	vtr.
'angtsìk	Hammerkopf	n.
'aw	eins	num.
'awkx	Klippe, Kliff	n.
'awpo	eine/r (Einzelperson)	pn.
'awsiteng	zusammen, gemeinsam	adv.
'awve	erste/r/s	adj.
'e'al	schlimmste/r/s, schlechteste/r/s	adj.
'eko	attackieren, angreifen	vtr.
'ekong	Schlag (rhythmisch)	n.
'engeng	eben, flach	adj.
'eveng	Kind	n.
'evi	Kind, Kindchen, Kindlein (affectionate form of)	n.
'ewan	jung	adj.
'eylan	Freund (geschlechtslos)	n.
'ì'awn	bleiben, verbleiben, verweilen	vin.
'ìheyu	Spirale, Wendel	n.
'Ìnglìsì	Englisch (Sprache)	n.
'it	Bißchen, Stückchen, kleine Menge	n.
'itan	Sohn	n.
'ite	Tochter	n.
'ok	Andenken, Gedenken, Erinnerung	n.
'ong	erblühen, sich entfalten	v.
'u	Ding (Sache, Tatsache, Abstraktion)	n.
'upe	Was, Welches (Ding)	inter.
'upxare	Nachricht, Mitteilung	n.
a	das/der/die, welche/r/s (Relativpronomen)	part.
alaksi	fertig, bereit	adj.
lìm	weit weg sein, entfernt sein	svin.
apxa	groß, erheblich, umfangreich	adj.
atan	Licht	n.
atokirina'	Samen des Großen Baumes	n.
atxkxe	Land, Boden	n.
au	Trommel (aus Haut/Fell)	n.
aungia	Omen, Zeichen, Vorzeichen	n.
awaiei	Paradiesbanshee	n.
awnga	wir	pn.
ayfo	sie (Plural)	pn.
aynga	ihr (alle)	pn.
ayoe	wir (exklusiv)	pn.
ayoeng	wir (inklusiv)	pn.
äie	Vision, Sehen (spirituell)	n.
äo	unter, darunter	adp.
ätxäle	Bitte, Anfrage	n.
ätxäle si	anfragen, verlangen, höflich ersuchen (mit tsnì Satz für das Objekt)	vin.
ean	blau, grün	adj.
eltu	Gehirn	n.
eltu si	anhören, Aufmerksamkeit schenken, sich kümmern um	vin.
eltungawng	Gehirnwurm	n.
emza'u	bestehen (einen Test), bewältigen, überwinden	vtr.
eo	vor (Ort)	adp.
eyawr	korrekt, richtig, zutreffend, genau	adj.
eyaye	Kriegshaube	n.
eyk	führen, anführen, leiten	vtr.
eyktan	Anführer	n.
fa	mit, mittels, durch	adp.
fahew	Geruch, Gestank	n.
fìfya	so (auf diese Art und Weise)	adv.
fìkem	dies, dieses (diese Aktion)	pn.
fìpo	diese Person oder Sache	pn.
fìtxan	so (sehr), besonders, in solchem Ausmaße	adv.
fìtseng	hier, dieser Ort	adv., n.
fìtsenge	hier, dieser Ort	adv., n.
fì'u	dies, dieses (Ding)	pn.
fkarut	schälen, häuten	v.
fkew	gewaltig, mächtig	adj.
fko	eine/r, man (nichtspezifizierter Handelnder)	pn.
flä	glücken, gelingen, Erfolg haben	vin.
fmawn	Neuigkeit, etwas zu berichten	n.
fmetok	testen, prüfen, überprüfen	vtr.
fmi	versuchen, probieren	vtrm.
fngap	Metall	n.
fngapsutxwll	metallsuchende Pflanze, Anemonide	n.
fnu	beruhigen, ruhig sein, leise sein	vin.
fo	sie (plural)	pn.
fpak	zögern, sich zurückhalten, Tätigkeit unterbrechen/einstellen	v.
fpe'	senden, schicken	vtr.
fpeio	Herausforderung (zeremoniell)	n.
fpi	wegen, zuliebe, um ... willen	adp.
fpìl	denken	vtr.
fpom	Wohlsein, Friede, Glück	n.
fpxafaw	Medusa (Tier)	n.
fpxäkìm	eintreten, betreten	vin.
fra'u	alles (jedes Ding)	pn.
frakrr	immer, jeder Zeit	adv.
frapo	jeder, jede, alle	pn.
frrfen	besuchen	vtr.
frrtu	Gast, Besucher	n.
ftang	stoppen, anhalten, aufhalten	vim.
fte	sodass, um…zu	conj.
fteke	sodass nicht, dass nicht, damit nicht	conj.
ftia	studieren, erforschen, untersuchen	vtr.
ftxì	Zunge	n.
ftxozä	Feier, Fest, fröhlicher Anlass, freudiges Ereignis	n.
ftu	von, ab, aus (Richtung)	adp.
ftue	leicht, einfach	adj.
ftxavang	leidenschaftlich	adj.
