"Frontside"	"Flipside"	"Category"
'ampi	touch	vtr.
'angtsìk	hammerhead	n.
'aw	one	num.
'awkx	cliff	n.
'awpo	one individual	pn.
'awsiteng	together	adv.
'awve	first (ordinal)	adj.
'e'al	worst	adj.
'eko	attack	vtr.
'ekong	beat (rhythmic)	n.
'engeng	level	adj.
'eveng	child	n.
'evi	kid (affectionate form of)	n.
'ewan	young	adj.
'eylan	friend	n.
'ì'awn	remain, stay	vin.
'ìheyu	spiral	n.
'Ìnglìsì	English language	n.
'it	bit, a small amount	n.
'itan	son	n.
'ite	daughter	n.
'ok	remembrance	n.
'ong	unfold, blossom	v.
'u	thing (object, fact, abstraction)	n.
'upe	what (thing)	inter.
'upxare	message	n.
a	clauselevel attributive marker	part.
alaksi	ready	adj.
lìm	be far	svin.
apxa	large	adj.
atan	light	n.
atokirina'	seeds of the great tree	n.
atxkxe	land	n.
au	drum (made of skin)	n.
aungia	sign, omen	n.
awaiei	banshee of paradise	n.
awnga	we	pn.
ayfo	they	pn.
aynga	you all, you (pl.)	pn.
ayoe	we, us (exclusive)	pn.
ayoeng	we, us (inclusive)	pn.
äie	vision (spiritual)	n.
äo	under, below	adp.
ätxäle	request	n.
ätxäle si	request (with tsnì clause for object)	vin.
ean	blue, green	adj.
eltu	brain	n.
eltu si	pay attention, quit goofing off	vin.
eltungawng	brainworm	n.
emza'u	pass (a test), overcome	vtr.
eo	before, in front of (place)	adp.
eyawr	correct, right	adj.
eyaye	warbonnet	n.
eyk	lead	vtr.
eyktan	leader	n.
fa	with, by means of	adp.
fahew	smell	n.
fìfya	this way, like this	adv.
fìkem	this (action)	pn.
fìpo	this one person or thing	pn.
fìtxan	so, to such an extent	adv.
fìtseng	here, this place	adv., n.
fìtsenge	here, this place	adv., n.
fì'u	this (thing)	pn.
fkarut	peel	v.
fkew	mighty	adj.
fko	one, they (singular usage) (unspecified agent)	pn.
flä	succeed	vin.
fmawn	news, something to report	n.
fmetok	test	vtr.
fmi	try, attempt	vtrm.
fngap	metal	n.
fngapsutxwll	metalfollowing plant	n.
fnu	quiet, be quiet	vin.
fo	they	pn.
fpak	hold off, suspend action	v.
fpe'	send	vtr.
fpeio	challenge (ceremonial)	n.
fpi	for the sake of, for the benefit of	adp.
fpìl	think	vtr.
fpom	wellbeing, peace, happiness	n.
fpxafaw	medusa	n.
