"Frontside"	"Flipside"	"Category"
'ampi	katsuma, puutuma	vtr.
'angtsìk	Vasarpea (hammerhead)	n.
'aw	üks	num.
'awkx	kalju, järsak	n.
'awpo	keegi, üks isik	pn.
'awsiteng	koos	adv.
'awve	esimene	adj.
'e'al	halvim	adj.
'eko	ründama	vtr.
'ekong	biit, löök (muusikas)	n.
'engeng	tase	adj.
'eveng	laps	n.
'evi	lapseke (affectionate form of)	n.
'ewan	noor	adj.
'eylan	sõber	n.
'ì'awn	jääma, püsima	vin.
'ìheyu	spiraal	n.
'Ìnglìsì	inglise keel	n.
'it	väike kogus	n.
'itan	poeg	n.
'ite	tütar	n.
'ok	mälestamine	n.
'ong	õitsema	v.
'u	asi (ese, fakt, mõte)	n.
'upe	mis (asi)	inter.
'upxare	sõnum, teade	n.
a	see (,mis), kes	part.
alaksi	valmis	adj.
lìm	kaugel olema	svin.
apxa	suur	adj.
atan	valgus	n.
atokirina'	Püha Puu seemned	n.
atxkxe	maa	n.
au	trumm (valmistatud nahast)	n.
aungia	märk, enne	n.
awaiei	Paradiisi mardus (banshee of paradise)	n.
awnga	meie	pn.
ayfo	nemad	pn.
aynga	teie	pn.
ayoe	meie (välistav)	pn.
ayoeng	meie (kaasav) (ayoeng nimetavas, (meie ja sina))	pn.
äie	nägemus (vaimne)	n.
äo	all, allpool	adp.
ätxäle	palve, nõue	n.
ätxäle si	nõudma, paluma (koos tsnì osalausega sihitise jaoks)	vin.
ean	sinine, roheline	adj.
eltu	aju	n.
eltu si	tähele panema, (kellegi) segamist lõpetama	vin.
eltungawng	Uneuss (brainworm)	n.
emza'u	läbima (testi), üle saama	vtr.
eo	ees, millegi ees	adp.
eyawr	õige, veatu	adj.
eyaye	Surmasulg (warbonnet)	n.
eyk	juhtima, valitsema	vtr.
eyktan	valitseja	n.
fa	koos (millegagi), (millegi) abil	adp.
fahew	lõhn, hais	n.
fìfya	nii, niimoodi	adv.
fìkem	see (tegevus)	pn.
fìpo	see (isik või asi)	pn.
