"Frontside"	"Flipside"	"Category"
'ampi	beröra	vtr.
'angtsìk	hammerhead, hammarhuvud	n.
'aw	en, ett	num.
'awkx	klippa	n.
'awpo	en individ	pn.
'awsiteng	tillsammans	adv.
'awve	först (ordningstal)	adj.
'e'al	värst	adj.
'eko	attackera, anfalla	vtr.
'ekong	rytm, slag (rytmiskt)	n.
'engeng	jämn	adj.
'eveng	barn	n.
'evi	unge (affectionate form of)	n.
'ewan	ung	adj.
'eylan	vän	n.
'ì'awn	stanna, bli kvar	vin.
'ìheyu	sprial	n.
'Ìnglìsì	Engelska språket	n.
'it	bit, en liten mängd	n.
'itan	son	n.
'ite	dotter	n.
'ok	åtanke, minne	n.
'ong	slå ut, blomstra	v.
'u	sak, objekt	n.
'upe	vad (för sak)	inter.
'upxare	meddelande	n.
a	som, vilken	part.
alaksi	redo	adj.
lìm	långt, vara långt	svin.
apxa	stor	adj.
atan	ljus	n.
atokirina'	frön av det heliga trädet	n.
atxkxe	land	n.
au	trumma (gjord av skinn)	n.
aungia	tecken, omen	n.
awaiei	vålnad av paradiset	n.
awnga	vi	pn.
ayfo	de	pn.
aynga	ni alla, ni	pn.
ayoe	vi, oss (inte du)	pn.
ayoeng	vi, oss (du med)	pn.
äie	syn, vision (andlig, spirituell)	n.
äo	under	adp.
ätxäle	begäran, förfrågan	n.
ätxäle si	begära (med tsnì som klausul för objektet)	vin.
ean	blå, grön	adj.
eltu	hjärna	n.
eltu si	sluta fåna sig, höra upp, skärpa sig	vin.
eltungawng	hjärnmask	n.
emza'u	klara (ett test), överkomma	vtr.
eo	inför, framför (en plats)	adp.
eyawr	rätt, korrekt	adj.
eyaye	warbonnet	n.
eyk	leda	vtr.
eyktan	ledare	n.
fa	med, med hjälp av	adp.
fahew	lukt	n.
fìfya	såhär, det här sättet	adv.
fìkem	den här (handlingen)	pn.
fìpo	den här personen (eller saken)	pn.
fìtxan	så, i sådan utsträckning	adv.
fìtseng	här, det här stället	adv., n.
fìtsenge	här, det här stället	adv., n.
fì'u	den här (saken)	pn.
fkarut	skala	v.
fkew	mäktig	adj.
fko	man, dem (används för singular) (ospecificerade agent)	pn.
flä	lyckas	vin.
fmawn	nyheter, något att rapportera	n.
fmetok	testa	vtr.
fmi	försöka	vtrm.
fngap	metall	n.
fngapsutxwll	metallföljande planta	n.
fnu	tyst, vara tyst	vin.
fo	de	pn.
fpak	avvakta, avbryta åtgärder	v.
fpe'	skicka	vtr.
fpeio	utmaning (högtidlig)	n.
fpi	för sakens skull, till förmån för	adp.
fpìl	tänka	vtr.
fpom	välmående, fred, lycka	n.
fpxafaw	manet	n.
fpxäkìm	stiga in,	vin.
fra'u	allt, alla saker	pn.
frakrr	alltid, hela tiden	adv.
frapo	alla	pn.
frrfen	besöka	vtr.
frrtu	gäst, besökare	n.
ftang	sluta	vim.
fte	så att, för att kunna	conj.
fteke	så att inte, för att inte	conj.
ftia	studera	vtr.
ftxì	tunga	n.
ftxozä	högtid, lyckligt tillfälle	n.
ftu	från (riktning)	adp.
ftue	enkel, simpel	adj.
ftxavang	passionerad	adj.
ftxey	välja	vtr.
fu	eller	conj.
futa	det	pn., sbd.
fwa	att,  (klausul bisatsmarkör)	pn., sbd.
fya'o	väg, stig, sätt	n.
fyape	hur	inter.
fyawìntxu	guide (med dativ av den guidade saken)	vin.
ha	så, i så fall	adv.
hahaw	sova	vin.
hapxì	del, bit	n.
hasey	färdig, klar	adj.
hawnu	skydda, beskydda	vtr.
hì'i	liten (i storlek)	adj.
hiyìk	konstig	adj.
hol	några, få	adj.
holpxay	nummer	n.
hrrap	fara	n.
hu	med (ackompanjemang)	adp.
hufwe	vind	n.
hum	lämna	vin.
i'en	stränginstrument	n.
ikran	vålnad	n.
ikranay	skogsvålnad	n.
ioang	djur, best	n.
irayo	tack	n., intj.
ìlä	av, via, efter	adp.
ka	över, grundligt täckande	adp.
kä	åka, gå, fara	vin.
kali'weya	en art av giftigt spindeldjur	n.
kalin	söt (smak)	adj.
kaltxì	Hej	intj.
kämakto	rid ut	v.
kame	se, se in i, förstå, känna (spirituellt)	vtr.
kan	sikta	vtrm., vtr.
kangay	giltig	adj.
kar	lära ut	vtr.
karyu	lärare	n.
kato	rytm	n.
kawkrr	aldrig	adv.
kawng	dålig, ond	adj.
kawtu	ingen	pn.
ke	inte	adv.
ke'u	ingenting, ingenting alls, inget alls	pn.
kehe	nej	part., intj.
kelku	hus, hem	n.
kelku si	bo, leva	vin.
kem	sak, handling, dåd	n.
kempe	vilken (handling)	inter.
kenong	representera, företräder, exemplifierar	vin.
kerusey	död	adj.
ketuwong	alien, utomjording	n.
kewong	främmande, utomjordisk	adj.
keye'ung	vansinne	n.
kifkey	värld (fysisk, solid)	n.
kilvan	flod	n.
kìm	snurra	vtr.
kin	behöva	vtr.
kinam	ben	n.
kinamtil	knä	n.
kìng	tråd	n.
kip	bland	adp.
kìte'e	tjänst	n.
kllfro'	vara ansvarig	svin.
kllkulat	gräva upp	vtr.
kllkxem	stå	vin.
kllpxìltu	område	n.
kllte	mark	n.
ko	hålla med	part.
kop	också	adv.
koren	regel, riktlinje	n.
krr	tid	n.
krrnekx	ta tid, konsumera tid	vin.
krrpe	när	inter.
kunsìp	flygvapen	n.
kurakx	driva ut	vtr.
kxam	mitt, mittpunkt	n.
kxamtseng	center, mitt, plats i mitten	n.
kxangangang	boom, pang, crash (onomatopoetikon)	intj.
kxanì	förbjuden	adj.
kxawm	kanske	adv.
kxener	rök	n.
kxetse	svans	n.
kxeyey	fel, misstag	n.
kxll	attack	n.
lahe	annan	adj.
lam	verka som, se ut	vin.
lapo	en annan (person eller sak)	pn.
latem	ändra	vin.
law	klar, säker	adj.
lefpom	lycklig, fridfull, glad (inte för folk), trevlig	adj.
lertu	kollega	n.
letrr	daglig	adj.
letsunslu	möjlig	adj.
lì'u	ord	n.
lì'fya	språk	n.
lok	närma sig	vtr.
lonu	släppa, släppa fri, låta gå	vtr.
lor	vacker, behaglig för sinnen	adj.
loreyu	helicoradian, vacker spiral	n.
lrrtok	leende	n.
lrrtok si	le	vin.
lu	vara	vin., svin.
lun	andledning	n.
lumpe	varför	inter.
ma	O (vokativ markör)	part.
makto	rida	vtr.
mawey	lugn	adj.
mefo	de, de två	pn.
menari	ögon (två)	n.
meoauniaea	harmoni, leva ett med naturen	n.
meuia	ära, heder	n.
meyp	svag	adj.
mi	ännu, fortfarande, som tidigare	adv.
mip	ny	adj.
mikyun	öra	n.
mì	i, på	adp.
mìn	vända	vin.
mìso	borta (position)	adv.
mllte	hålla med, samtycka	vin.
moe	vi två (du är inte inräknad)	pn.
mokri	röst	n.
muiä	rättvis, rätt, korrekt	adj.
mun'i	skära	v.
mune	två	num.
munge	ta, ta med	vtr.
mungwrr	förutom	adp.
muntxa	parad, gift	adj.
na	som, likt	adp.
na'rìng	skog	n.
Na'vi	Folket, rasen som lever på Pandora	prop.n.
nang	överraskning, utrop, uppmuntran (admirativ)	part.
nantang	Viperwolf	n.
nari	öga	n.
nari si	se upp, var försiktig	vin.
nawm	mäktig, nobel	adj.
ne	till, mot (riktning)	adp.
ne'ìm	tillbaka (riktning)	adv.
nekx	bränna upp, konsumera	vtr.
neto	bort (riktning)	adv.
new	vilja ha, vilja	vtrm.
niä	greppa tag, ta tag	vtr.
nì'aw	bara, endast	adv.
nìawnomum	som ni vet, som sagt (vardagligt tal [naw.no.mum])	adv.
nì'awtu	ensam (som en person)	adv.
nì'awve	först	adv.
nì'it	lite, lite grann (abstrakt)	adv.
nì'ul	mer, mera	adv.
nìayoeng	som oss, som vi gör (vardagligt [naj.wEN])	adv.
nìftue	enkelt	adv.
nìftxavang	passionerat, med hela hjärtat	adv.
nìhawng	alltför, (för)	adv.
nìltsan	väl, bra	adv.
nìmun	igen	adv.
nìn	titta på	vtr.
nìngay	sannerligen	adv.
nìtam	nog, tillräckligt (efter ett adjektiv)	adv.
nìteng	också	adv.
nìtut	kontinuerligt, oavbrutet	adv.
nìtxan	mycket (abstrakt), väldigt	adv.
nìwin	snabbt	adv.
nìwotx	alla, i helhet, helt	adv.
nulkrr	längre (tid)	adv.
nulnew	föredra (ii)	vtrm.
nume	lära	vin.
nga	du	pn.
ngawng	mask	n.
ngay	sann	adj.
ngenga	du (ärofull, högtidlig form)	pn.
ngim	lång (fysisk längd)	adj.
ngop	skapa	vtr.
ngrr	rot	n.
nguway	ylande, viperwolfylande	n.
oe	Jag, mig	pn.
oeng	vi två, du och jag	pn.
oeyk	orsak	n.
ohe	Jag (högtidligt eller med vördnad)	pn.
olo'	klan	n.
olo'eyktan	klan ledare	n.
omum	veta, känna till	vtr.
ontu	näsa	n.
pähem	anlända	vin.
pak	pytsan! (nedvärdering)	part.
pa'li	direhorse, häst	n.
palulukan	thanator (stort kattliknande rovdjur på Pandora)	n.
pam	ljud	n.
pamtseo	musik	n.
pamtseowll	cat ear, musikplanta	n.
pängkxo	prata, konversera, ha en konversation	vin.
pänutìng	lova (en sak till någon)	vtr.
pätsì	bricka, emblem	n.
pawm	fråga	v.
pay	vatten, vätska	n.
paywll	vattenväxt, dapophet	n.
pe	interr. frågemarkör	affix
pe'un	bestämma sig, besluta, avgöra	vtr.
pefya	hur	inter.
pehem	vad för, vilken (handling)	inter.
pehrr	när	inter.
pelun	varför	inter.
peng	berätta	vtr.
penghrrap	binärt solsken, fransad lampa	n.
peseng	vart, var	inter.
pesu	vem	inter.
peu	vad (för sak)	inter.
pey	vänta, vänta på	vin.
pizayu	förfader	n.
plltxe	prata, tala	v.
po	han/hon	pn.
poan	han (inte pluralform: använd (ay)fo)	pn.
poe	hon (det finns ingen pluralform: använd (ay)fo)	pn.
pongu	grupp av människor, parti	n.
prrnen	nyfödd, bebis	n.
prrnesyul	knopp	n.
prrte'	njutbar, trevlig (om en aktivitet)	adj.
pxan	värdig	adj.
pxasìk	aldrig!, skit i det! (vulgärt)	intj.
pxasul	färsk, tilltalande som mat	adj.
pxay	många	adj.
pxey	tre	num.
pxi	vass, skarp	adj.
pxìm	ofta	adv.
pxiut	vasst träd	n.
pxorna'	exploderande frö	n.
pxun	arm	n.
pxuntil	armbåge	n.
rä'ä	gör inte (för negativa krav, endast kommandon)	part.
ral	mening, betydelse	n.
ralpeng	tolka (ii)	vtr.
rawke	varningsskall, rop för att varna, "stridsberedskap!"	intj.
rel	bild	n.
reltseo	visuell konst	n.
reltseotu	konstnär	n.
renu	mönster	n.
rey	leva	vin.
rikx	flytta, byta position	vin.
rim	gul	adj.
rina'	frö	n.
riti	stingbat (fladdermusdjur som lever på Pandora)	n.
rol	sjunga	v.
ronsem	sinne	n.
rum	boll	n.
rumut	bollträd	n.
run	hitta, upptäcka	vtr.
rutxe	snälla	intj.
sa'nok	mamma	n.
sa'nu	mamsen, mamma (affectionate form of)	n.
san	säga, citera	adv.
sänume	lärande, undervisning	n.
säspxin	sjukdom, smitta	n.
sempu	pappsen, pappa (affectionate form of)	n.
sempul	pappa	n.
set	nu	adv.
sevin	vacker (främst om kvinnor, endast om folk)	adj.
seyri	läpp	n.
seze	blå blomma	n.
si	hjälpverb, ickebindande verb göra	
sì	och (connects two things, can be attached as --sÃ¬: for clauses use)	conj.
sìk	sluta citera	adv.
sìlpey	hoppas (med tsnì för en önskad sak, om inte i självständig klausul) (ii)	vin.
sìlronsem	smart, intelligent (sak)	adj.
sìltsan	bra, duktig, bra gjort	adj.
ska'a	förstöra	vtr.
skxawng	idiot, fårskalle	n.
slä	men	conj.
slu	bli (substantivs predikat med ne i tvetydiga konstruktioner)	vin.
sngä'i	börja, starta	vim.
sngä'ikrr	början, starttid	n.
sngel	skräp	n.
sngeltseng	skräpställe, sopptipp	n.
snumìna	dum, korkad (om en person)	adj.
som	varm, het	adj.
somtìlor	isglass, het skönhet	n.
spaw	tro	vtr.
spxam	svamp	n.
spe'e	fånga	vtr.
spe'etu	fånge	n.
spxin	sjuk	adj.
srak	interj. markör för ja och nejfrågor	part.
srake	interj. markör för ja och nejfrågor	part.
srane	ja	part., intj.
srew	dansa	vin.
srung	hjälp, assistans	n.
stawm	höra	vtr.
steftxaw	undersöka, inspektera	vtr.
stum	nästan	adv.
sutx	följa, spåra	vtr.
swaw	ögonblick	n.
swey	bäst	adj.
swirä	varelse	n.
swizaw	pil	n.
