Na'vi	partOfSpeech	Definition	relatedWords
säpllhrr	n.	warning	pllhrr(v. warn), plltxe(v. speak), hrrap(n. danger)
kenzen	adv.	not necessarily	ke(adv. not), nìzen(adv. necessarily), zene(vim. must)
nìzen	adv.	necessarily	zene(vim. must)
tìtxurnga'	adj.	powerful	tìtxur(n. power), txur(adj. strong physically), nga'(vtr. contain)
tsamsä'o	n.	weapon of war	tsam(n. war), sä'o(n. tool, utensil)
txanlokxe	n.	clan or tribal domain, country	txan(adj. much), olo'(n. clan), atxkxe(n. land)
nantangtsyìp	n.	dog (earth animal); lit. little nantang	nantang(n. viperwolf)
laro si	vin.	clean, make free of dirt	laro(adj. clean), si(aux. do, make)
syewenga'	adj.	fatty	syewe(n. fat, substance in meat), nga'(vtr. contain)
stiwisiyu	n.	mischiefmaker	stiwi si(vin. be naughty, do mischief), stiwi(n. mischief)
stiwi si	vin.	be naughty, do mischief	stiwi(n.mischief), si(aux. do, make)
eyawrfya	n.	right way of doing something, correct path	eyawr(adj. correct), fya'o(n. path, way, manner)
tì'ul	n.	increase	'ul(vin. increase)
säpenghrr	n.	warning	penghrr(vin. warn), peng(vtr. tell), hrrap(n. danger)
penghrr	vin.	warn	peng(vtr. tell), hrrap(n. danger)
txanwetseng	n.	personally significant or beloved place	txanwawe(adj. personally meaningful, significant), txan(adj. much), wawe(n. meaning, importance, significance), tseng(n. place)
tìnvi si	vin.	perform a task, run an errand	tìnvi(n. task, errand, step in an instruction), tìn(n. activity that keeps one busy), 'ìn(svin. be busy, be occupied), si(aux. do, make)
kewan	adj.	age	koak(adj. old, aged), 'ewan(young)
syokup	n.	weight	syo(adj. light), ku'up(heavy)
tanleng	n.	bark of a tree	tangek(n. trunk of a tree), ta'leng(n. skin)
mo a fngä'	restroom (on Earth)	mo(n. space, hollow, enclosed open area), a(part. attributive particle), fngä'(vin. relieve oneself; on earth use the restroom, go to the bathroom)
fngä'tseng	n.	restroom (on Earth)	fngä'(vin. relieve oneself; on earth use the restroom, go to the bathroom), tseng(n. place)
paskalin	n.	sweet berry (term of endearment)	pasuk(n. berry), kalin(sweet to the taste)
vozampasukut	n.	grinch tree, thousand berry tree	vozam(num. 8x64), vol(num. 8), zam(num. 64), pasuk(n. berry), utral(n. tree)
tiretu	n.	shaman	tirea(n. spirit), tute(n. person)
sa'ewrang	n.	mother loom, giant loom	sa'nok(n. mother), 'ewrang(n. loom)
nìler	adv.	steadily	ler(adj. steady, smooth (for motion))
ronguwayyu	n.	howler	ronguway(vin. howl), rol(v. sing), nguway(n. howl, viperwolf cry), way(n. ancient ceremonial song)
ronguway	vin.	howl	rol(v. sing), nguway(n. howl, viperwolf cry), way(n. ancient ceremonial song)
nìhìpey	adv.	hesitantly	hìpey(vin. hesitate, hold back for a short time), hì'i(adj. small), pey(vin. wait)
lehìpey	adj.	hesitant, in a state of hesitation	hìpey(vin. hesitate, hold back for a short time), hì'i(adj. small), pey(vin. wait)
tìhìpey	n.	hesitation	hìpey(vin. hesitate, hold back for a short time), hì'i(adj. small), pey(vin. wait)
hìpey	vin.	hesitate, hold back for a short time	hì'i(adj. small), pey(vin. wait)
tìlatem	n.	change (abstract concept)	latem(vin. change)
sälatem	n.	change (instance of), edit, modification	latem(vin. change)
kllrikx	n.	earthquake	kllte(n. ground), rikx(vin. move, shift position)
palulukantsyìp	n.	cat (earth animal); lit. little palulukan	palulukan(n. thanator)
pxawngip	n.	environment	pxaw(adp. around), ngip(space, open or borderless area)
plltxeyu	n.	speaker	plltxe(v. speak)
fekumnga'	adj.	disadvantageous	fekum(n. disadvantage, drawback, downside), nga'(vtr. contain)
fekum	n.	disadvantage, drawback, downside	fe'(adj. bad), kum(n. result)
nawfwe	adj.	fluent (for speech)	na(adp. like, as), hufwe(n. wind)
tìmungwrr si	vin.	make an exception	tìmungwrr(n. exception), mungwrr(adp. except), munge(vtr. take), wrrpa(n.,adv. outside), pa'o(side)
tìmungwrr	n.	exception	mungwrr(adp. except), munge(vtr. take), wrrpa(n.,adv. outside), pa'o(side)
mungwrr	adp.	except	munge(vtr. take), wrrpa(n.,adv. outside), pa'o(side)
tsankumnga'	adj.	advantageous	sìltsan(adj. good), kum(n. result), nga'(vtr. contain)
tsankum	n.	advantage, benefit, upside, gain	sìltsan(adj. good), kum(n. result)
txanlal	adj.	ancient, very old	txan(adj. much), lal(old, opposite of mip(adj. new))
spulyaney	n.	canoe paddle	spule(vtr. propel), yaney(n. canoe)
säseyto	n.	butchering tool	seyto(vtr. butcher (in the sense of separating or processing the carcass of a dead animal))
snokfyan	n.	personal belongings rack	sno(pn. self), kuryfan(n. hamper or suspended rack), kur(vin. hang), fyan(n. constructed device for keeping something off the ground and clean)
kurfyan	n.	hamper or suspended rack)	kur(vin. hang), fyan(n. constructed device for keeping something off the ground and clean)
fyanyì	n.	shelf	fyan(n. constructed device for keeping something off the ground and clean), yì(n. shelf, ledge, level, step, rung)
yomyo lerìk	n.	leaf plate	yom(vtr. eat), yo(n. surface), lerìk(adj. leafy), rìk(n. leaf)
yomyo	n.	plate (for food)	yom(vtr. eat), yo(n. surface)
fyanyo	n.	table, elevated utilitarian surface	fyan(n. constructed device for keeping something off the ground and clean), yo(n. surface)
kelhoan	adj.	uncomfortable	ke(adv. not), lehoan(adj. comfortable), hoan(n. comfort)
lehoan	adj.	comfortable	hoan(n. comfort)
seyn	n.	chair, stool, bench; any tool or device to facilitate sitting	heyn(vin. sit)
tsmisnrr	n.	bladder lantern, nectar lantern	tsmi(n. nectar), sänrr(n. glow, an instance of glowing; light source, lamp), nrr(vin. glow, be luminous)
sänrr	n.	glow, an instance of glowing; light source, lamp	nrr(vin. glow, be luminous)
snonivi	n.	singleperson hammock	sno(pn. self), nivi(n. sleeping hammock (general term))
swaynivi	n.	family hammock	soaia(n. family), nivi(n. sleeping hammock (general term))
10632
